用户cookie,时戳,是否转化,转化值,渠道
6AC99iBniiDifh3n3nnBo03AB,2021-07-03T11:37:54Z,0,0,付费搜索
6AC99iBniiDifh3n3nnBo03AB,2021-07-03T13:42:48Z,0,0,快手
6AC99iBniiDifh3n3nnBo03AB,2021-07-04T12:25:55Z,0,0,快手
6AC99iBniiDifh3n3nnBo03AB,2021-07-05T07:27:28Z,0,0,抖音
6AC99iBniiDifh3n3nnBo03AB,2021-07-10T07:34:49Z,0,0,抖音
6AC99iBniiDifh3n3nnBo03AB,2021-07-10T11:11:32Z,0,0,抖音
6AC99iBniiDifh3n3nnBo03AB,2021-07-12T07:44:20Z,0,0,B站
6AC99iBniiDifh3n3nnBo03AB,2021-07-15T13:21:01Z,0,0,抖音
6AC99iBniiDifh3n3nnBo03AB,2021-07-19T11:20:05Z,0,0,B站
6AC99iBniiDifh3n3nnBo03AB,2021-07-22T08:28:53Z,0,0,快手
6AC99iBniiDifh3n3nnBo03AB,2021-07-22T08:29:43Z,0,0,快手
6AC99iBniiDifh3n3nnBo03AB,2021-07-29T14:02:17Z,0,0,快手
6AC99iBniiDifh3n3nnBo03AB,2021-07-30T07:51:15Z,0,0,抖音
6AC9k0A9AECECnDhf9oofDAFf,2021-07-14T15:10:19Z,0,0,B站
6AC9k0A9AECECnDhf9oofDAFf,2021-07-24T18:36:46Z,0,0,B站
6ACABi9BDBiBC9BEniFC0f00E,2021-07-14T23:35:26Z,1,6,付费搜索
6ACB3ihnAnnCE3CB3kf79ED7A,2021-07-21T19:51:11Z,0,0,B站
6ACB3ihnAnnCE3CB3kf79ED7A,2021-07-23T21:33:21Z,0,0,抖音
6ACB3ihnAnnCE3CB3kf79ED7A,2021-07-23T21:35:10Z,1,8.5,抖音
6ACB7C7hACniCk9F3EBnn97A9,2021-07-25T13:30:06Z,0,0,付费搜索
6ACB7o3Bfihoo3fho3EBA99DE,2021-07-07T00:25:06Z,0,0,抖音
6ACB7o3Bfihoo3fho3EBA99DE,2021-07-16T13:00:55Z,0,0,付费搜索
6ACB7o3Bfihoo3fho3EBA99DE,2021-07-16T16:49:07Z,0,0,付费搜索
6ACB9o9EDCB9fDkCFi0hk7C7E,2021-07-07T12:42:47Z,0,0,付费搜索
6ACB9o9EDCB9fDkCFi0hk7C7E,2021-07-13T17:50:55Z,0,0,付费搜索
6ACBCEC99Dki0B3on3Dn9CADB,2021-07-16T09:26:24Z,0,0,快手
6ACBCEC99Dki0B3on3Dn9CADB,2021-07-16T09:27:15Z,0,0,快手
6ACBCEC99Dki0B3on3Dn9CADB,2021-07-16T09:27:19Z,0,0,快手
6ACBCoDo93h9oF7o9DiFB9Foh,2021-07-29T22:05:05Z,0,0,B站
6ACBFE9oABB3hkokiDffCB0oD,2021-07-01T16:24:40Z,0,0,抖音
6ACBfFDEEACfo7n7D3Akio7Bn,2021-07-12T13:20:20Z,0,0,付费搜索
6ACCA7n3f73nCknACC0n3fD9A,2021-07-17T11:21:24Z,0,0,付费搜索
6ACCA7n3f73nCknACC0n3fD9A,2021-07-17T11:27:11Z,0,0,付费搜索
6ACCioBB39DFBCFEC7EEAEkBF,2021-07-23T11:02:48Z,0,0,B站
6ACCkFDED397CEfhnBDBiBEoh,2021-07-14T13:01:19Z,0,0,付费搜索
6ACCkFDED397CEfhnBDBiBEoh,2021-07-17T15:58:52Z,0,0,B站
6ACCkFDED397CEfhnBDBiBEoh,2021-07-17T15:59:19Z,0,0,B站
6ACCkFDED397CEfhnBDBiBEoh,2021-07-25T22:37:24Z,0,0,付费搜索
6ACCkFDED397CEfhnBDBiBEoh,2021-07-25T23:01:05Z,0,0,快手
6ACD0ni9Df7oAhCki9k3n7i3C,2021-07-28T23:26:51Z,0,0,快手
6ACD7kooEADk7F9Ci30Ai0o7n,2021-07-28T14:36:11Z,0,0,快手
6ACD9Ao3k3D7nAEf9Dh90ii93,2021-07-14T21:43:52Z,0,0,B站
6ACD9Ao3k3D7nAEf9Dh90ii93,2021-07-26T16:07:15Z,0,0,小红书
6ACD9Ao3k3D7nAEf9Dh90ii93,2021-07-30T13:58:47Z,0,0,B站
6ACDAf90E3o0ECfkfFok903k7,2021-07-13T17:57:19Z,0,0,付费搜索
6ACDFnkD9hE0i7F3A7D0D99k7,2021-07-26T07:12:11Z,0,0,抖音
6ACE9hBDo7F0F33En3A907Fnn,2021-07-03T15:30:33Z,0,0,付费搜索
6ACEfB9ACfi7Boh9AAoFAEo07,2021-07-21T07:27:16Z,0,0,B站
6ACEfB9ACfi7Boh9AAoFAEo07,2021-07-25T07:08:46Z,0,0,B站
