用户码,日期,客户端,性别
450007,11/28/2020,电脑,女
377150,1/13/2021,电脑,女
236201,12/12/2020,电脑,男
443293,12/17/2020,手机,男
435414,12/9/2020,手机,女
449259,11/15/2020,电脑,男
252135,12/8/2020,手机,男
283193,11/12/2020,电脑,男
265629,1/25/2021,手机,男
469531,1/18/2021,手机,男
429473,11/28/2020,手机,女
291813,12/26/2020,电脑,女
378948,12/4/2020,手机,男
220197,10/14/2020,电脑,女
245517,11/23/2020,电脑,女
231324,11/22/2020,电脑,女
457209,10/7/2020,电脑,女
434895,10/7/2020,电脑,女
471874,11/17/2020,电脑,男
418014,11/22/2020,电脑,女
205344,10/27/2020,电脑,女
476955,12/21/2020,手机,女
384199,12/22/2020,电脑,男
388103,12/28/2020,电脑,女
407805,12/16/2020,电脑,女
210950,10/15/2020,电脑,男
355552,12/20/2020,电脑,女
336186,11/20/2020,电脑,男
449714,10/28/2020,手机,男
435742,11/1/2020,手机,女
324784,1/2/2021,手机,男
239133,1/22/2021,电脑,男
263024,1/25/2021,电脑,女
468189,10/1/2020,手机,男
424187,10/13/2020,电脑,男
226861,11/8/2020,手机,女
428198,11/23/2020,电脑,男
212557,1/17/2021,电脑,女
294234,12/14/2020,手机,男
251157,12/8/2020,电脑,男
416753,12/1/2020,电脑,男
261175,1/16/2021,手机,女
469756,10/24/2020,电脑,女
325655,11/19/2020,手机,男
485948,12/1/2020,手机,男
260665,12/31/2020,手机,女
481376,12/27/2020,手机,男
430295,10/21/2020,手机,男
422726,10/10/2020,电脑,女
362111,12/30/2020,电脑,男
218289,11/26/2020,电脑,男
211834,11/23/2020,电脑,男
423478,12/1/2020,手机,男
291840,12/3/2020,电脑,女
367090,10/12/2020,电脑,男
323678,1/1/2021,电脑,男
290391,12/29/2020,手机,男
476508,1/28/2021,电脑,女
236586,12/25/2020,电脑,女
204170,12/28/2020,电脑,女
275484,1/15/2021,电脑,女
381241,12/16/2020,手机,女
487368,11/17/2020,电脑,男
438980,1/19/2021,手机,男
379453,10/2/2020,电脑,男
253420,1/21/2021,手机,男
339785,11/12/2020,手机,女
454000,11/29/2020,手机,女
215864,10/30/2020,电脑,男
441149,1/11/2021,电脑,男
491650,12/21/2020,电脑,女
260528,11/27/2020,电脑,女
416339,10/23/2020,电脑,男
339931,11/2/2020,电脑,男
430068,10/26/2020,手机,男
369484,12/17/2020,电脑,男
412728,11/20/2020,电脑,男
388175,12/19/2020,手机,女
400068,12/9/2020,电脑,男
282317,1/1/2021,电脑,男
337953,10/13/2020,电脑,女
296440,11/11/2020,电脑,男
351524,11/27/2020,电脑,男
416069,10/14/2020,手机,女
248849,10/29/2020,手机,女
400664,11/28/2020,电脑,男
480688,1/24/2021,电脑,男
367111,11/24/2020,手机,女
247338,11/28/2020,电脑,女
271761,10/23/2020,电脑,女
380900,11/1/2020,电脑,男
447223,1/12/2021,电脑,女
327144,11/9/2020,电脑,男
477136,10/3/2020,电脑,男
262555,1/14/2021,手机,女
448767,12/29/2020,电脑,男
346529,12/20/2020,电脑,女
228647,12/7/2020,电脑,女
475643,1/12/2021,手机,女
320235,12/18/2020,手机,男
285882,10/27/2020,手机,女
449667,12/29/2020,电脑,男
385867,10/22/2020,手机,男
299821,12/11/2020,电脑,女
234850,10/22/2020,电脑,男
329250,11/7/2020,电脑,男
321738,12/2/2020,手机,男
441049,10/25/2020,电脑,女
344758,1/12/2021,电脑,女
490018,11/16/2020,手机,女
359974,11/1/2020,电脑,男
251790,12/8/2020,电脑,女
231382,11/26/2020,手机,女
327213,10/14/2020,电脑,男
396609,10/19/2020,手机,男
318814,10/9/2020,电脑,男
425712,12/25/2020,电脑,女
435151,12/8/2020,电脑,女
361644,1/11/2021,电脑,女
403748,1/23/2021,手机,女
334242,12/21/2020,电脑,女
263034,1/3/2021,手机,女
354377,11/23/2020,电脑,女
383218,10/8/2020,电脑,男
333429,1/13/2021,电脑,男
234387,12/23/2020,电脑,男
403460,12/30/2020,电脑,女
296161,1/26/2021,电脑,女
435079,12/13/2020,电脑,女
353265,11/10/2020,电脑,男
355059,11/13/2020,手机,男
219860,11/14/2020,电脑,男
438317,1/20/2021,电脑,男
344997,11/1/2020,电脑,男
410921,1/25/2021,手机,男
401984,10/14/2020,手机,男
309382,12/15/2020,电脑,男
286819,12/16/2020,手机,男
443876,1/28/2021,电脑,男
285006,12/6/2020,电脑,男
373583,12/10/2020,电脑,男
363839,11/13/2020,手机,男
360677,1/1/2021,电脑,女
469165,11/13/2020,手机,男
472216,11/2/2020,电脑,女
284836,10/12/2020,手机,女
402435,12/4/2020,电脑,男
448996,10/23/2020,电脑,男
237248,1/3/2021,手机,男
402590,12/29/2020,电脑,男
234705,12/7/2020,电脑,男
309147,10/22/2020,电脑,男
312774,1/16/2021,手机,男
440031,12/29/2020,电脑,女
437059,10/4/2020,电脑,男
372793,11/22/2020,电脑,女
410338,10/4/2020,电脑,女
392644,12/6/2020,手机,男
484610,12/25/2020,电脑,男
334941,1/23/2021,电脑,女
227719,11/7/2020,电脑,女
276261,1/18/2021,手机,男
384505,10/27/2020,电脑,男
365697,10/6/2020,电脑,女
429546,10/11/2020,电脑,女
392569,1/24/2021,电脑,男
222495,1/24/2021,电脑,女
482695,10/25/2020,电脑,女
278804,12/23/2020,电脑,男
434293,12/5/2020,电脑,男
323770,12/1/2020,手机,男
202790,12/9/2020,手机,女
289154,12/12/2020,电脑,女
310034,10/13/2020,电脑,男
489768,12/17/2020,电脑,男
381709,12/19/2020,电脑,女
370367,12/22/2020,手机,男
271432,12/20/2020,电脑,女
264178,11/10/2020,手机,男
305865,12/11/2020,手机,男
203437,12/2/2020,电脑,女
219474,12/11/2020,电脑,男
221073,11/25/2020,手机,女
431999,12/5/2020,电脑,男
437551,10/6/2020,电脑,男
324002,1/26/2021,手机,女
204259,1/27/2021,手机,男
321372,12/27/2020,电脑,男
368660,1/4/2021,手机,女
301598,10/5/2020,手机,男
371788,10/29/2020,电脑,女
278349,12/4/2020,电脑,男
287096,11/3/2020,电脑,男
449697,12/6/2020,电脑,男
400898,12/13/2020,电脑,男
275831,10/19/2020,手机,女
