用户码,性别,累计消费次数,价值组别,页面版本,是否购买,retention_7
1,男,3,高,旧页面,否,FALSE
2,女,38,高,旧页面,是,FALSE
3,女,165,高,新页面,否,FALSE
4,男,1,高,新页面,否,FALSE
5,女,179,高,新页面,否,TRUE
6,女,187,高,新页面,否,TRUE
7,男,0,高,旧页面,否,FALSE
8,男,2,高,新页面,否,FALSE
9,女,108,高,新页面,否,TRUE
10,女,153,高,新页面,否,FALSE
11,男,3,高,旧页面,否,TRUE
12,男,0,高,旧页面,否,FALSE
13,女,30,高,旧页面,是,FALSE
14,女,39,高,旧页面,是,FALSE
15,女,305,高,旧页面,是,TRUE
16,女,73,高,旧页面,是,FALSE
17,女,14,高,旧页面,是,FALSE
18,女,204,高,旧页面,是,TRUE
19,女,108,高,旧页面,是,TRUE
20,男,1,高,新页面,否,FALSE
21,女,9,高,新页面,否,FALSE
22,女,5,高,旧页面,是,FALSE
23,女,45,高,新页面,否,FALSE
24,男,105,高,旧页面,否,TRUE
25,男,4,高,旧页面,否,FALSE
26,男,3,高,旧页面,否,FALSE
27,男,0,高,旧页面,否,FALSE
28,女,80,高,新页面,否,TRUE
29,男,4,高,新页面,否,FALSE
30,男,5,高,旧页面,否,FALSE
31,女,53,高,新页面,否,TRUE
32,女,37,高,旧页面,是,FALSE
33,女,13,高,旧页面,是,FALSE
34,男,50,高,旧页面,否,FALSE
35,女,202,高,新页面,否,TRUE
36,男,0,高,新页面,否,FALSE
37,男,23,高,旧页面,否,FALSE
38,男,0,高,旧页面,否,FALSE
39,男,103,高,旧页面,否,FALSE
40,男,27,高,旧页面,否,FALSE
41,男,15,高,新页面,否,FALSE
42,男,0,高,旧页面,否,FALSE
43,男,1,高,新页面,否,FALSE
44,女,49,高,新页面,否,FALSE
45,男,7,高,旧页面,否,FALSE
46,女,386,高,旧页面,是,TRUE
47,女,25,高,新页面,否,FALSE
48,男,1,高,旧页面,否,FALSE
49,女,13,高,旧页面,是,FALSE
50,女,12,高,旧页面,是,FALSE
51,男,6,高,新页面,否,FALSE
52,女,25,高,旧页面,是,FALSE
53,女,29,高,旧页面,是,FALSE
54,女,136,高,旧页面,是,FALSE
55,女,105,高,旧页面,是,TRUE
56,女,10,高,新页面,否,FALSE
57,男,76,高,新页面,否,FALSE
58,男,138,高,新页面,否,FALSE
59,男,0,高,旧页面,否,FALSE
60,女,94,高,旧页面,是,TRUE
61,男,1,高,新页面,否,FALSE
62,男,0,高,旧页面,否,FALSE
63,男,21,高,旧页面,否,FALSE
64,女,297,高,新页面,否,TRUE
65,女,108,高,新页面,否,TRUE
66,女,45,高,旧页面,是,FALSE
67,男,33,高,新页面,否,FALSE
68,男,0,高,新页面,否,FALSE
69,男,80,高,旧页面,否,FALSE
70,男,21,高,旧页面,否,FALSE
71,男,3,高,新页面,否,FALSE
72,女,139,高,旧页面,是,TRUE
73,男,14,高,旧页面,否,FALSE
74,女,50,高,旧页面,是,FALSE
75,男,14,高,新页面,否,FALSE
76,男,14,高,新页面,否,FALSE
77,男,9,高,旧页面,否,FALSE
78,男,3,高,新页面,否,FALSE
79,男,0,高,旧页面,否,FALSE
80,男,10,高,旧页面,否,FALSE
81,女,5,高,旧页面,是,FALSE
82,男,2,高,旧页面,否,FALSE
83,男,0,高,旧页面,否,FALSE
84,女,3,高,旧页面,是,FALSE
85,男,19,高,旧页面,否,TRUE
86,男,8,高,旧页面,否,FALSE
87,男,6,高,旧页面,否,FALSE
88,女,22,高,旧页面,是,FALSE
89,男,11,高,旧页面,否,FALSE
90,女,246,高,旧页面,是,TRUE
91,男,16,高,旧页面,否,FALSE
92,女,66,高,旧页面,是,TRUE
93,男,0,高,旧页面,否,FALSE
94,女,122,高,旧页面,是,TRUE
95,女,75,高,旧页面,是,FALSE
96,男,3,高,旧页面,否,FALSE
97,女,1,高,旧页面,是,FALSE
98,男,24,高,旧页面,否,FALSE
99,男,3,高,旧页面,否,FALSE
100,女,11,高,旧页面,是,FALSE
101,女,47,高,旧页面,是,FALSE
102,女,31,高,旧页面,是,FALSE
103,男,13,高,旧页面,否,FALSE
